,Year,R/O,Country,Artist,Song,Language,Points,Place,SF,SF_Order,SF_Points,SF_Place
326,1976,18,Yugoslavia,Ambasadori,Ne mogu skriti svoju bol (Не могу скрити своју бол),Serbo-Croatian,10,17,,,,
327,1977,1,Ireland,The Swarbriggs Plus Two,It's Nice to Be in Love Again,English,119,3,,,,
328,1977,2,Monaco,Michèle Torr,Une petite française,French,96,4,,,,
329,1977,3,Netherlands,Heddy Lester,De mallemolen,Dutch,35,12,,,,
330,1977,4,Austria,Schmetterlinge,Boom Boom Boomerang,German,11,17,,,,
331,1977,5,Norway,Anita Skorgan,Casanova,Norwegian,18,14,,,,
332,1977,6,Germany,Silver Convention,Telegram,English,55,8,,,,
333,1977,7,Luxembourg,Anne-Marie B,Frère Jacques,French,17,16,,,,
334,1977,8,Portugal,Os Amigos,Portugal no coração,Portuguese,18,14,,,,
335,1977,9,United Kingdom,Lynsey de Paul and Mike Moran,Rock Bottom,English,121,2,,,,
336,1977,10,Greece,"Pascalis, Marianna, Robert and Bessy",Mathima solfege (Μάθημα σολφέζ),Greek,92,5,,,,
337,1977,11,Israel,Ilanit,Ahava Hi Shir Lishnayim (אהבה היא שיר לשניים),Hebrew,49,11,,,,
338,1977,12,Switzerland,Pepe Lienhard Band,Swiss Lady,German,71,6,,,,
339,1977,13,Sweden,Forbes,Beatles,Swedish,2,18,,,,
340,1977,14,Spain,Micky,Enséñame a cantar,Spanish,52,9,,,,
341,1977,15,Italy,Mia Martini,Libera,Italian,33,13,,,,
342,1977,16,Finland,Monica Aspelund,Lapponia,Finnish,50,10,,,,
343,1977,17,Belgium,Dream Express,"A Million in One, Two, Three",English,69,7,,,,
344,1977,18,France,Marie Myriam,L'Oiseau et l'Enfant,French,136,1,,,,
345,1978,1,Ireland,Colm C. T. Wilkinson,Born to Sing,English,86,5,,,,
346,1978,2,Norway,Jahn Teigen,Mil etter mil,Norwegian,0,20,,,,
347,1978,3,Italy,Ricchi e Poveri,Questo amore,Italian,53,12,,,,
348,1978,4,Finland,Seija Simola,Anna rakkaudelle tilaisuus,Finnish,2,18,,,,
349,1978,5,Portugal,Gemini,Dai li dou,Portuguese,5,17,,,,
350,1978,6,France,Joël Prévost,Il y aura toujours des violons,French,119,3,,,,
351,1978,7,Spain,José Vélez,Bailemos un vals,Spanish,65,9,,,,
352,1978,8,United Kingdom,Co-Co,The Bad Old Days,English,61,11,,,,
353,1978,9,Switzerland,Carole Vinci,Vivre,French,65,9,,,,
354,1978,10,Belgium,Jean Vallée,L'Amour ça fait chanter la vie,French,125,2,,,,
355,1978,11,Netherlands,Harmony,'t Is OK,Dutch,37,13,,,,
356,1978,12,Turkey,Nilüfer and Nazar,Sevince,Turkish,2,18,,,,
357,1978,13,Germany,Ireen Sheer,Feuer,German,84,6,,,,
358,1978,14,Monaco,Caline and Olivier Toussaint,Les Jardins de Monaco,French,107,4,,,,
359,1978,15,Greece,Tania Tsanaklidou,Charlie Chaplin (Τσάρλυ Τσάπλιν),Greek,66,8,,,,
360,1978,16,Denmark,Mabel,Boom Boom,Danish,13,16,,,,
361,1978,17,Luxembourg,Baccara,Parlez-vous français ?,French,73,7,,,,
362,1978,18,Israel,Izhar Cohen and the Alphabeta,A-Ba-Ni-Bi (א-ב-ני-בי),Hebrew,157,1,,,,
363,1978,19,Austria,Springtime,Mrs. Caroline Robinson,German,14,15,,,,
364,1978,20,Sweden,Björn Skifs,Det blir alltid värre framåt natten,Swedish,26,14,,,,
365,1979,1,Portugal,Manuela Bravo,"Sobe, sobe, balão sobe",Portuguese,64,9,,,,
366,1979,2,Italy,Matia Bazar,Raggio di luna,Italian,27,15,,,,
367,1979,3,Denmark,Tommy Seebach,Disco Tango,Danish,76,6,,,,
368,1979,4,Ireland,Cathal Dunne,Happy Man,English,80,5,,,,
369,1979,5,Finland,Katri Helena,Katson sineen taivaan,Finnish,38,14,,,,
370,1979,6,Monaco,Laurent Vaguener,Notre vie c'est la musique,French,12,16,,,,
371,1979,7,Greece,Elpida,Socrates (Σωκράτη),Greek,69,8,,,,
372,1979,8,Switzerland,"Peter, Sue and Marc, Pfuri, Gorps and Kniri",Trödler und Co,German,60,10,,,,
373,1979,9,Germany,Dschinghis Khan,Dschinghis Khan,German,86,4,,,,
374,1979,10,Israel,Milk and Honey,Hallelujah (הללויה),Hebrew,125,1,,,,
375,1979,11,France,Anne-Marie David,Je suis l'enfant soleil,French,106,3,,,,
376,1979,12,Belgium,Micha Marah,Hey Nana,Dutch,5,18,,,,
377,1979,13,Luxembourg,Jeane Manson,J'ai déjà vu ça dans tes yeux,French,44,13,,,,
378,1979,14,Netherlands,Xandra,Colorado,Dutch,51,12,,,,
379,1979,15,Sweden,Ted Gärdestad,Satellit,Swedish,8,17,,,,
380,1979,16,Norway,Anita Skorgan,Oliver,Norwegian,57,11,,,,
381,1979,17,United Kingdom,Black Lace,Mary Ann,English,73,7,,,,
382,1979,18,Austria,Christina Simon,Heute in Jerusalem,German,5,18,,,,
383,1979,19,Spain,Betty Missiego,Su canción,Spanish,116,2,,,,
384,1980,1,Austria,Blue Danube,Du bist Musik,German,64,8,,,,
385,1980,2,Turkey,Ajda Pekkan,Pet'r Oil,Turkish,23,15,,,,
386,1980,3,Greece,Anna Vissi and the Epikouri,Autostop (Ωτοστόπ),Greek,30,13,,,,
387,1980,4,Luxembourg,Sophie and Magaly,Papa Pingouin,French,56,9,,,,
388,1980,5,Morocco,Samira Bensaïd,Bitaqat Hub (بطاقة حب),Arabic,7,18,,,,
389,1980,6,Italy,Alan Sorrenti,Non so che darei,Italian,87,6,,,,
390,1980,7,Denmark,Bamses Venner,Tænker altid på dig,Danish,25,14,,,,
391,1980,8,Sweden,Tomas Ledin,Just nu!,Swedish,47,10,,,,
392,1980,9,Switzerland,Paola,Cinéma,French,104,4,,,,
393,1980,10,Finland,Vesa-Matti Loiri,Huilumies,Finnish,6,19,,,,
394,1980,11,Norway,Sverre Kjelsberg and Mattis Hætta,Sámiid ædnan,Norwegian,15,16,,,,
395,1980,12,Germany,Katja Ebstein,Theater,German,128,2,,,,
396,1980,13,United Kingdom,Prima Donna,Love Enough for Two,English,106,3,,,,
397,1980,14,Portugal,José Cid,"Um grande, grande amor",Portuguese,71,7,,,,
398,1980,15,Netherlands,Maggie MacNeal,Amsterdam,Dutch,93,5,,,,
399,1980,16,France,Profil,"Hé, hé M'sieurs dames",French,45,11,,,,
400,1980,17,Ireland,Johnny Logan,What's Another Year,English,143,1,,,,
401,1980,18,Spain,Trigo Limpio,Quédate esta noche,Spanish,38,12,,,,
402,1980,19,Belgium,Telex,Euro-Vision,French,14,17,,,,
403,1981,1,Austria,Marty Brem,Wenn du da bist,German,20,17,,,,
404,1981,2,Turkey,Modern Folk Trio and Ayşegül,Dönme Dolap,Turkish,9,18,,,,
405,1981,3,Germany,Lena Valaitis,Johnny Blue,German,132,2,,,,
406,1981,4,Luxembourg,Jean-Claude Pascal,C'est peut-être pas l'Amérique,French,41,11,,,,
407,1981,5,Israel,Habibi,Halayla (הלילה),Hebrew,56,7,,,,
408,1981,6,Denmark,Debbie Cameron and Tommy Seebach,Krøller eller ej,Danish,41,11,,,,
409,1981,7,Yugoslavia,Seid Memić Vajta,Lejla (Лејла),Serbo-Croatian,35,15,,,,
410,1981,8,Finland,Riki Sorsa,Reggae OK,Finnish,27,16,,,,
411,1981,9,France,Jean Gabilou,Humanahum,French,125,3,,,,
412,1981,10,Spain,Bacchelli,Y sólo tú,Spanish,38,14,,,,
413,1981,11,Netherlands,Linda Williams,Het is een wonder,Dutch,51,9,,,,
414,1981,12,Ireland,Sheeba,Horoscopes,English,105,5,,,,
415,1981,13,Norway,Finn Kalvik,Aldri i livet,Norwegian,0,20,,,,
416,1981,14,United Kingdom,Bucks Fizz,Making Your Mind Up,English,136,1,,,,
417,1981,15,Portugal,Carlos Paião,Playback,Portuguese,9,18,,,,
418,1981,16,Belgium,Emly Starr,Samson,Dutch,40,13,,,,
419,1981,17,Greece,Yiannis Dimitras,Feggari kalokerino (Φεγγάρι καλοκαιρινό),Greek,55,8,,,,
420,1981,18,Cyprus,Island,Monika (Μόνικα),Greek,69,6,,,,
421,1981,19,Switzerland,"Peter, Sue and Marc",Io senza te,Italian,121,4,,,,
422,1981,20,Sweden,Björn Skifs,Fångad i en dröm,Swedish,50,10,,,,
423,1982,1,Portugal,Doce,Bem bom,Portuguese,32,13,,,,
424,1982,2,Luxembourg,Svetlana,Cours après le temps,French,78,6,,,,
425,1982,3,Norway,Jahn Teigen and Anita Skorgan,Adieu,Norwegian,40,12,,,,
426,1982,4,United Kingdom,Bardo,One Step Further,English,76,7,,,,
427,1982,5,Turkey,Neco,Hani?,Turkish,20,15,,,,
428,1982,6,Finland,Kojo,Nuku pommiin,Finnish,0,18,,,,
429,1982,7,Switzerland,Arlette Zola,Amour on t'aime,French,97,3,,,,
430,1982,8,Cyprus,Anna Vissi,Mono i agapi (Μόνο η αγάπη),Greek,85,5,,,,
431,1982,9,Sweden,Chips,Dag efter dag,Swedish,67,8,,,,
432,1982,10,Austria,Mess,Sonntag,German,57,9,,,,
433,1982,11,Belgium,Stella,Si tu aimes ma musique,French,96,4,,,,
434,1982,12,Spain,Lucía,Él,Spanish,52,10,,,,
435,1982,13,Denmark,Brixx,Video-video,Danish,5,17,,,,
436,1982,14,Yugoslavia,Aska,"Halo, halo (Хало, хало)",Serbo-Croatian,21,14,,,,
437,1982,15,Israel,Avi Toledano,Hora (הורה),Hebrew,100,2,,,,
438,1982,16,Netherlands,Bill van Dijk,Jij en ik,Dutch,8,16,,,,
439,1982,17,Ireland,The Duskeys,Here Today Gone Tomorrow,English,49,11,,,,
440,1982,18,Germany,Nicole,Ein bißchen Frieden,German,161,1,,,,
441,1983,1,France,Guy Bonnet,Vivre,French,56,8,,,,
442,1983,2,Norway,Jahn Teigen,Do Re Mi,Norwegian,53,9,,,,
443,1983,3,United Kingdom,Sweet Dreams,I'm Never Giving Up,English,79,6,,,,
444,1983,4,Sweden,Carola Häggkvist,Främling,Swedish,126,3,,,,
445,1983,5,Italy,Riccardo Fogli,Per Lucia,Italian,41,11,,,,
446,1983,6,Turkey,Çetin Alp,Opera,Turkish,0,19,,,,
447,1983,7,Spain,Remedios Amaya,¿Quién maneja mi barca?,Spanish,0,19,,,,
448,1983,8,Switzerland,Mariella Farré,Io così non ci sto,Italian,28,15,,,,
449,1983,9,Finland,Ami Aspelund,Fantasiaa,Finnish,41,11,,,,
450,1983,10,Greece,Christie Stasinopoulou,Mou les (Μου λες),Greek,32,14,,,,
451,1983,11,Netherlands,Bernadette,Sing Me a Song,Dutch,66,7,,,,
452,1983,12,Yugoslavia,Daniel,Džuli (Џули),Serbo-Croatian,125,4,,,,
453,1983,13,Cyprus,Stavros and Constantina,I agapi akoma zi (Η αγάπη ακόμα ζει),Greek,26,16,,,,
454,1983,14,Germany,Hoffmann and Hoffmann,Rücksicht,German,94,5,,,,
455,1983,15,Denmark,Gry Johansen,Kloden drejer,Danish,16,17,,,,
456,1983,16,Israel,Ofra Haza,Hi (חי),Hebrew,136,2,,,,
457,1983,17,Portugal,Armando Gama,Esta balada que te dou,Portuguese,33,13,,,,
458,1983,18,Austria,Westend,Hurricane,German,53,9,,,,
459,1983,19,Belgium,Pas de Deux,Rendez-vous,Dutch,13,18,,,,
460,1983,20,Luxembourg,Corinne Hermès,Si la vie est cadeau,French,142,1,,,,
461,1984,1,Sweden,Herreys,Diggi-Loo Diggi-Ley,Swedish,145,1,,,,
462,1984,2,Luxembourg,Sophie Carle,100% d'amour,French,39,10,,,,
463,1984,3,France,Annick Thoumazeau,Autant d'amoureux que d'étoiles,French,61,8,,,,
464,1984,4,Spain,Bravo,"Lady, Lady",Spanish,106,3,,,,
465,1984,5,Norway,Dollie de Luxe,Lenge leve livet,Norwegian,29,17,,,,
466,1984,6,United Kingdom,Belle and the Devotions,Love Games,English,63,7,,,,
467,1984,7,Cyprus,Andy Paul,Anna Maria Lena (Άννα Μαρία Λένα),Greek,31,15,,,,
468,1984,8,Belgium,Jacques Zegers,Avanti la vie,French,70,5,,,,
469,1984,9,Ireland,Linda Martin,Terminal 3,English,137,2,,,,
470,1984,10,Denmark,Hot Eyes,Det' lige det,Danish,101,4,,,,
471,1984,11,Netherlands,Maribelle,Ik hou van jou,Dutch,34,13,,,,
472,1984,12,Yugoslavia,Vlado and Isolda,"Ciao, amore",Serbo-Croatian,26,18,,,,
473,1984,13,Austria,Anita,Einfach weg,German,5,19,,,,
474,1984,14,Germany,Mary Roos,Aufrecht geh'n,German,34,13,,,,
475,1984,15,Turkey,"Beş Yıl Önce, On Yıl Sonra",Halay,Turkish,37,12,,,,
476,1984,16,Finland,Kirka,Hengaillaan,Finnish,46,9,,,,
477,1984,17,Switzerland,Rainy Day,Welche Farbe hat der Sonnenschein?,German,30,16,,,,
478,1984,18,Italy,Alice and Franco Battiato,I treni di Tozeur,Italian,70,5,,,,
479,1984,19,Portugal,Maria Guinot,Silêncio e tanta gente,Portuguese,38,11,,,,
480,1985,1,Ireland,Maria Christian,Wait Until the Weekend Comes,English,91,6,,,,
481,1985,2,Finland,Sonja Lumme,Eläköön elämä,Finnish,58,9,,,,
482,1985,3,Cyprus,Lia Vissi,To katalava arga (Το κατάλαβα αργά),Greek,15,16,,,,
483,1985,4,Denmark,Hot Eyes,Sku' du spørg' fra no'en?,Danish,41,11,,,,
484,1985,5,Spain,Paloma San Basilio,La fiesta terminó,Spanish,36,14,,,,
485,1985,6,France,Roger Bens,Femme dans ses rêves aussi,French,56,10,,,,
486,1985,7,Turkey,MFÖ,Didai didai dai,Turkish,36,14,,,,
487,1985,8,Belgium,Linda Lepomme,Laat me nu gaan,Dutch,7,19,,,,
488,1985,9,Portugal,Adelaide,"Penso em ti, eu sei",Portuguese,9,18,,,,
489,1985,10,Germany,Wind,Für alle,German,105,2,,,,
490,1985,11,Israel,Izhar Cohen,"Olé, Olé (עולה, עולה)",Hebrew,93,5,,,,
491,1985,12,Italy,Al Bano and Romina Power,Magic Oh Magic,Italian,78,7,,,,
492,1985,13,Norway,Bobbysocks!,La det swinge,Norwegian,123,1,,,,
493,1985,14,United Kingdom,Vikki,Love Is...,English,100,4,,,,
494,1985,15,Switzerland,Mariella Farré and Pino Gasparini,"Piano, piano",German,39,12,,,,
495,1985,16,Sweden,Kikki Danielsson,Bra vibrationer,Swedish,103,3,,,,
496,1985,17,Austria,Gary Lux,Kinder dieser Welt,German,60,8,,,,
497,1985,18,Luxembourg,"Margo, Franck Olivier, Diane Solomon,Ireen Sheer, Malcolm Roberts and Chris Roberts","Children, Kinder, Enfants","French, German, English",37,13,,,,
498,1985,19,Greece,Takis Biniaris,Miazoume (Μοιάζουμε),Greek,15,16,,,,
499,1986,1,Luxembourg,Sherisse Laurence,L'Amour de ma vie,French,117,3,,,,
500,1986,2,Yugoslavia,Doris Dragović,Željo moja (Жељо моја),Serbo-Croatian,49,11,,,,
501,1986,3,France,Cocktail Chic,Européennes,French,13,17,,,,
502,1986,4,Norway,Ketil Stokkan,Romeo,Norwegian,44,12,,,,
503,1986,5,United Kingdom,Ryder,Runner in the Night,English,72,7,,,,
504,1986,6,Iceland,ICY,Gleðibankinn,Icelandic,19,16,,,,
505,1986,7,Netherlands,Frizzle Sizzle,Alles heeft ritme,Dutch,40,13,,,,
506,1986,8,Turkey,Klips ve Onlar,Halley,Turkish,53,9,,,,
507,1986,9,Spain,Cadillac,Valentino,Spanish,51,10,,,,
508,1986,10,Switzerland,Daniela Simons,Pas pour moi,French,140,2,,,,
509,1986,11,Israel,Moti Giladi and Sarai Tzuriel,Yavo Yom (יבוא יום),Hebrew,7,19,,,,
510,1986,12,Ireland,Luv Bug,You Can Count On Me,English,96,4,,,,
511,1986,13,Belgium,Sandra Kim,J'aime la vie,French,176,1,,,,
512,1986,14,Germany,Ingrid Peters,Über die Brücke geh'n,German,62,8,,,,
513,1986,15,Cyprus,Elpida,Tora zo (Τώρα ζω),Greek,4,20,,,,
514,1986,16,Austria,Timna Brauer,Die Zeit ist einsam,German,12,18,,,,
515,1986,17,Sweden,Lasse Holm and Monica Törnell,E' de' det här du kallar kärlek?,Swedish,78,5,,,,
516,1986,18,Denmark,Lise Haavik,Du er fuld af løgn,Danish,77,6,,,,
517,1986,19,Finland,Kari Kuivalainen,Never the End,Finnish,22,15,,,,
518,1986,20,Portugal,Dora,Não sejas mau para mim,Portuguese,28,14,,,,
519,1987,1,Norway,Kate Gulbrandsen,Mitt liv,Norwegian,65,9,,,,
520,1987,2,Israel,Datner and Kushnir,Shir Habatlanim (שיר הבטלנים),Hebrew,73,8,,,,
521,1987,3,Austria,Gary Lux,Nur noch Gefühl,German,8,20,,,,
522,1987,4,Iceland,Halla Margrét,Hægt og hljótt,Icelandic,28,16,,,,
523,1987,5,Belgium,Liliane Saint-Pierre,Soldiers of Love,Dutch,56,11,,,,
524,1987,6,Sweden,Lotta Engberg,Boogaloo,Swedish,50,12,,,,
525,1987,7,Italy,Umberto Tozzi and Raf,Gente di mare,Italian,103,3,,,,
526,1987,8,Portugal,Nevada,Neste barco à vela,Portuguese,15,18,,,,
527,1987,9,Spain,Patricia Kraus,No estás solo,Spanish,10,19,,,,
528,1987,10,Turkey,Seyyal Taner and Lokomotif,Şarkım Sevgi Üstüne,Turkish,0,22,,,,
529,1987,11,Greece,Bang,Stop (Στοπ),Greek,64,10,,,,
530,1987,12,Netherlands,Marcha,Rechtop in de wind,Dutch,83,5,,,,
531,1987,13,Luxembourg,Plastic Bertrand,"Amour, amour",French,4,21,,,,
532,1987,14,United Kingdom,Rikki,Only the Light,English,47,13,,,,
533,1987,15,France,Christine Minier,Les Mots d'amour n'ont pas de dimanche,French,44,14,,,,
534,1987,16,Germany,Wind,Laß die Sonne in dein Herz,German,141,2,,,,
535,1987,17,Cyprus,Alexia,Aspro mavro (Άσπρο μαύρο),Greek,80,7,,,,
536,1987,18,Finland,Vicky Rosti and Boulevard,Sata salamaa,Finnish,32,15,,,,
537,1987,19,Denmark,Anne-Cathrine Herdorf and Bandjo,En lille melodi,Danish,83,5,,,,
538,1987,20,Ireland,Johnny Logan,Hold Me Now,English,172,1,,,,
539,1987,21,Yugoslavia,Novi fosili,Ja sam za ples (Ја сам за плес),Serbo-Croatian,92,4,,,,
540,1987,22,Switzerland,Carol Rich,"Moitié, moitié",French,26,17,,,,
541,1988,1,Iceland,Beathoven,Þú og þeir (Sókrates),Icelandic,20,16,,,,
542,1988,2,Sweden,Tommy Körberg,Stad i ljus,Swedish,52,12,,,,
543,1988,3,Finland,Boulevard,Nauravat silmät muistetaan,Finnish,3,20,,,,
544,1988,4,United Kingdom,Scott Fitzgerald,Go,English,136,2,,,,
545,1988,5,Turkey,MFÖ,Sufi,Turkish,37,15,,,,
546,1988,6,Spain,La Década,La chica que yo quiero (Made in Spain),Spanish,58,11,,,,
547,1988,7,Netherlands,Gerard Joling,Shangri-La,Dutch,70,9,,,,
548,1988,8,Israel,Yardena Arazi,Ben Adam (בן אדם),Hebrew,85,7,,,,
549,1988,9,Switzerland,Céline Dion,Ne partez pas sans moi,French,137,1,,,,
550,1988,10,Ireland,Jump the Gun,Take Him Home,English,79,8,,,,
551,1988,11,Germany,Maxi and Chris Garden,Lied für einen Freund,German,48,14,,,,
552,1988,12,Austria,Wilfried,Lisa Mona Lisa,German,0,21,,,,
553,1988,13,Denmark,Hot Eyes,Ka' du se hva' jeg sa'?,Danish,92,3,,,,
554,1988,14,Greece,Afroditi Frida,Clown (Κλόουν),Greek,10,17,,,,
555,1988,15,Norway,Karoline Krüger,For vår jord,Norwegian,88,5,,,,
556,1988,16,Belgium,Reynaert,Laissez briller le soleil,French,5,18,,,,
557,1988,17,Luxembourg,Lara Fabian,Croire,French,90,4,,,,
558,1988,18,Italy,Luca Barbarossa,Vivo (Ti scrivo),Italian,52,12,,,,
559,1988,19,France,Gérard Lenorman,Chanteur de charme,French,64,10,,,,
560,1988,20,Portugal,Dora,Voltarei,Portuguese,5,18,,,,
561,1988,21,Yugoslavia,Srebrna krila ,Mangup (Мангуп),Serbo-Croatian,87,6,,,,
562,1989,1,Italy,Anna Oxa and Fausto Leali,Avrei voluto,Italian,56,9,,,,
563,1989,2,Israel,Gili and Galit,Derekh Hamelekh (דרך המלך),Hebrew,50,12,,,,
564,1989,3,Ireland,Kiev Connolly and the Missing Passengers,The Real Me,English,21,18,,,,
565,1989,4,Netherlands,Justine Pelmelay,Blijf zoals je bent,Dutch,45,15,,,,
566,1989,5,Turkey,Pan,Bana Bana,Turkish,5,21,,,,
567,1989,6,Belgium,Ingeborg,Door de wind,Dutch,13,19,,,,
568,1989,7,United Kingdom,Live Report,Why Do I Always Get It Wrong,English,130,2,,,,
569,1989,8,Norway,Britt Synnøve Johansen,Venners nærhet,Norwegian,30,17,,,,
570,1989,9,Portugal,Da Vinci,Conquistador,Portuguese,39,16,,,,
571,1989,10,Sweden,Tommy Nilsson,En dag,Swedish,110,4,,,,
572,1989,11,Luxembourg,Park Café,Monsieur,French,8,20,,,,
573,1989,12,Denmark,Birthe Kjær,Vi maler byen rød,Danish,111,3,,,,
574,1989,13,Austria,Thomas Forstner,Nur ein Lied,German,97,5,,,,
575,1989,14,Finland,Anneli Saaristo,La dolce vita,Finnish,76,7,,,,
576,1989,15,France,Nathalie Pâque,J'ai volé la vie,French,60,8,,,,
577,1989,16,Spain,Nina,Nacida para amar,Spanish,88,6,,,,
578,1989,17,Cyprus,Fani Polymeri and Yiannis Savvidakis,Apopse as vrethoume (Απόψε ας βρεθούμε),Greek,51,11,,,,
579,1989,18,Switzerland,Furbaz,Viver senza tei,Romansh,47,13,,,,
580,1989,19,Greece,Marianna,To diko sou asteri (Το δικό σου αστέρι),Greek,56,9,,,,
581,1989,20,Iceland,Daníel Ágúst Haraldsson,Það sem enginn sér,Icelandic,0,22,,,,
582,1989,21,Germany,Nino de Angelo,Flieger,German,46,14,,,,
583,1989,22,Yugoslavia,Riva,Rock Me,Serbo-Croatian,137,1,,,,
584,1990,1,Spain,Azúcar Moreno,Bandido,Spanish,96,5,,,,
585,1990,2,Greece,Christos Callow and Wave,Horis skopo (Χωρίς σκοπό),Greek,11,19,,,,
586,1990,3,Belgium,Philippe Lafontaine,Macédomienne,French,46,12,,,,
587,1990,4,Turkey,Kayahan,Gözlerinin Hapsindeyim,Turkish,21,17,,,,
588,1990,5,Netherlands,Maywood,Ik wil alles met je delen,Dutch,25,15,,,,
589,1990,6,Luxembourg,Céline Carzo,Quand je te rêve,French,38,13,,,,
590,1990,7,United Kingdom,Emma,Give a Little Love Back to the World,English,87,6,,,,
591,1990,8,Iceland,Stjórnin,Eitt lag enn,Icelandic,124,4,,,,
592,1990,9,Norway,Ketil Stokkan,Brandenburger Tor,Norwegian,8,21,,,,
593,1990,10,Israel,Rita,Shara Barkhovot (שרה ברחובות),Hebrew,16,18,,,,
594,1990,11,Denmark,Lonnie Devantier,Hallo Hallo,Danish,64,8,,,,
595,1990,12,Switzerland,Egon Egemann,Musik klingt in die Welt hinaus,German,51,11,,,,
596,1990,13,Germany,Chris Kempers and Daniel Kovac,Frei zu leben,German,60,9,,,,
597,1990,14,France,Joëlle Ursull,White and Black Blues,French,132,2,,,,
598,1990,15,Yugoslavia,Tajči,Hajde da ludujemo (Хајде да лудујемо),Serbo-Croatian,81,7,,,,
599,1990,16,Portugal,Nucha,Há sempre alguém,Portuguese,9,20,,,,
600,1990,17,Ireland,Liam Reilly,Somewhere in Europe,English,132,2,,,,
601,1990,18,Sweden,Edin-Ådahl,Som en vind,Swedish,24,16,,,,
602,1990,19,Italy,Toto Cutugno,Insieme: 1992,Italian,149,1,,,,
603,1990,20,Austria,Simone,Keine Mauern mehr,German,58,10,,,,
604,1990,21,Cyprus,Haris Anastasiou,Milas poli (Μιλάς πολύ),Greek,36,14,,,,
605,1990,22,Finland,Beat,Fri?,Swedish,8,21,,,,
606,1991,1,Yugoslavia,Baby Doll,Brazil (Бразил),Serbo-Croatian,1,21,,,,
607,1991,2,Iceland,Stefán and Eyfi,Nína,Icelandic,26,15,,,,
608,1991,3,Malta,Paul Giordimaina and Georgina,Could It Be,English,106,6,,,,
609,1991,4,Greece,Sophia Vossou,I anixi (Η άνοιξη),Greek,36,13,,,,
610,1991,5,Switzerland,Sandra Simó,Canzone per te,Italian,118,5,,,,
611,1991,6,Austria,Thomas Forstner,Venedig im Regen,German,0,22,,,,
612,1991,7,Luxembourg,Sarah Bray,Un baiser volé,French,29,14,,,,
613,1991,8,Sweden,Carola,Fångad av en stormvind,Swedish,146,1,,,,
614,1991,9,France,Amina,C'est le dernier qui a parlé qui a raison,French,146,2,,,,
615,1991,10,Turkey,"İzel Çeliköz, Reyhan Karaca and Can Uğurluer",İki Dakika,Turkish,44,12,,,,
616,1991,11,Ireland,Kim Jackson,Could It Be That I'm in Love,English,47,10,,,,
617,1991,12,Portugal,Dulce,Lusitana paixão,Portuguese,62,8,,,,
618,1991,13,Denmark,Anders Frandsen,Lige der hvor hjertet slår,Danish,8,19,,,,
619,1991,14,Norway,Just 4 Fun,Mrs. Thompson,Norwegian,14,17,,,,
620,1991,15,Israel,Duo Datz,Kan (כאן),Hebrew,139,3,,,,
621,1991,16,Finland,Kaija,Hullu yö,Finnish,6,20,,,,
622,1991,17,Germany,Atlantis 2000,Dieser Traum darf niemals sterben,German,10,18,,,,
623,1991,18,Belgium,Clouseau,Geef het op,Dutch,23,16,,,,
624,1991,19,Spain,Sergio Dalma,Bailar pegados,Spanish,119,4,,,,
625,1991,20,United Kingdom,Samantha Janus,A Message to Your Heart,English,47,10,,,,
626,1991,21,Cyprus,Elena Patroklou,SOS,Greek,60,9,,,,
627,1991,22,Italy,Peppino di Capri,Comme è ddoce 'o mare,Neapolitan,89,7,,,,
628,1992,1,Spain,Serafín,Todo esto es la música,Spanish,37,14,,,,
629,1992,2,Belgium,Morgane,"Nous, on veut des violons",French,11,20,,,,
630,1992,3,Israel,Dafna,Ze Rak Sport (זה רק ספורט),Hebrew,85,6,,,,
631,1992,4,Turkey,Aylin Vatankoş,Yaz Bitti,Turkish,17,19,,,,
632,1992,5,Greece,Cleopatra,Olou tou kosmou i Elpida (Όλου του κόσμου η Ελπίδα),Greek,94,5,,,,
633,1992,6,France,Kali,Monte la riviè,"French, Antillean Creole",73,8,,,,
634,1992,7,Sweden,Christer Björkman,I morgon är en annan dag,Swedish,9,22,,,,
635,1992,8,Portugal,Dina,Amor d'água fresca,Portuguese,26,17,,,,
636,1992,9,Cyprus,Evridiki,Teriazoume (Ταιριάζουμε),Greek,57,11,,,,
637,1992,10,Malta,Mary Spiteri,Little Child,English,123,3,,,,
638,1992,11,Iceland,Heart 2 Heart,Nei eða já,Icelandic,80,7,,,,
639,1992,12,Finland,Pave,"Yamma, yamma",Finnish,4,23,,,,
640,1992,13,Switzerland,Daisy Auvray,Mister Music Man,French,32,15,,,,
641,1992,14,Luxembourg,Marion Welter and Kontinent,Sou fräi,Luxembourgish,10,21,,,,
642,1992,15,Austria,Tony Wegas,Zusammen geh'n,German,63,10,,,,
643,1992,16,United Kingdom,Michael Ball,One Step Out of Time,English,139,2,,,,
644,1992,17,Ireland,Linda Martin,Why Me?,English,155,1,,,,
645,1992,18,Denmark,Lotte Nilsson and Kenny Lübcke,Alt det som ingen ser,Danish,47,12,,,,
646,1992,19,Italy,Mia Martini,Rapsodia,Italian,111,4,,,,
647,1992,20,Yugoslavia,Extra Nena,Ljubim te pesmama (Љубим те песмама),Serbian,44,13,,,,
648,1992,21,Norway,Merethe Trøan,Visjoner,Norwegian,23,18,,,,
649,1992,22,Germany,Wind,Träume sind für alle da,German,27,16,,,,
